"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","738-RNCF0402TKY200RCT-ND","RNCF0402TKY200R","RES SMD 200 OHM 0.01% 1/10W 0402","","2","0","1.79000","3.58"
"2","2","10-ERA-2VRW6801XCT-ND","ERA-2VRW6801X","RES 6.8K OHM 0.05% 1/10W 0402","","2","0","0.50000","1.00"
"3","2","408-1416-1-ND","RL0510S-220-F","RES SMD 22 OHM 1% 1/6W 0402","","2","0","0.29000","0.58"
"4","2","408-1411-1-ND","RL0510S-6R8-F","RES SMD 6.8 OHM 1% 1/6W 0402","","2","0","0.29000","0.58"
"5","2","CSRF0402FT10L0CT-ND","CSRF0402FT10L0","RES 0.01 OHM 1% 1/8W 0402","","2","0","0.69000","1.38"
"6","2","541-9844-1-ND","TNPW04025K60BEED","RES 5.6K OHM 0.1% 0.13W 0402","","2","0","0.25000","0.50"
"7","2","1276-1481-1-ND","CL05A475KQ5NRNC","CAP CER 4.7UF 6.3V X5R 0402","","2","0","0.08000","0.16"
"8","2","13-CC0402KRX5R6BB103CT-ND","CC0402KRX5R6BB103","CAP 0402 10V 10 NF X5R","","2","0","0.10000","0.20"
"9","2","490-10982-1-ND","ZRB157R61E225KE11D","CAP CER 2.2UF 25V X5R 0402","","2","0","0.26000","0.52"
"10","32","490-ZRB15XR61A106ME01DCT-ND","ZRB15XR61A106ME01D","CAP CER 10UF 10V X5R 0402","","32","0","0.21400","6.85"
"11","2","399-C0402C273J4RACTUCT-ND","C0402C273J4RACTU","CAP CER 0.027UF 16V X7R 0402","","2","0","0.44000","0.88"
"12","2","BK-26824-000-ND","BK-26824-000","SPEAKER 29OHM SIDE PORT 112DB","","2","0","26.72000","53.44"
"13","2","423-1152-ND","TWFK-30017-000","SPEAKER 43OHM TOP PORT 95DB","","2","0","54.56000","109.12"
"14","2","423-CI22955-ND","CI-22955-000","SPEAKER 47OHM TOP PORT 131.5DB","","2","0","31.15000","62.30"
"15","2","HODTEC3126800-ND","HODTEC-31268-000","SPEAKER 112OHM TOP PORT 112DB","","2","0","46.43000","92.86"